dataset,seed,nominal,coverage,median_radius_m
UJIIndoorLoc,11,0.5,0.44374437443744374,5.698508331391816
UJIIndoorLoc,11,0.55,0.495949594959496,6.341339026769131
UJIIndoorLoc,11,0.6000000000000001,0.5706570657065707,7.127674571302643
UJIIndoorLoc,11,0.6500000000000001,0.6201620162016201,7.876554782620863
UJIIndoorLoc,11,0.7000000000000002,0.6777677767776777,8.738493885996384
UJIIndoorLoc,11,0.7500000000000002,0.738973897389739,10.102830449242349
UJIIndoorLoc,11,0.8000000000000003,0.7857785778577858,11.405544632262965
UJIIndoorLoc,11,0.8500000000000003,0.8496849684968497,13.527889184647222
UJIIndoorLoc,11,0.9000000000000004,0.9063906390639064,16.81368905793904
UJIIndoorLoc,11,0.9500000000000004,0.9648964896489649,26.306854612744583
UJIIndoorLoc,22,0.5,0.504050405040504,6.2731912610033795
UJIIndoorLoc,22,0.55,0.5553555355535553,7.148570499735652
UJIIndoorLoc,22,0.6000000000000001,0.630963096309631,8.329809555700713
UJIIndoorLoc,22,0.6500000000000001,0.6957695769576958,9.709140737090758
UJIIndoorLoc,22,0.7000000000000002,0.7767776777677767,11.64208316999406
UJIIndoorLoc,22,0.7500000000000002,0.8181818181818182,13.639883135427699
UJIIndoorLoc,22,0.8000000000000003,0.8748874887488749,16.588519860111163
UJIIndoorLoc,22,0.8500000000000003,0.9216921692169217,21.669060849060223
UJIIndoorLoc,22,0.9000000000000004,0.9522952295229523,30.65314465018904
UJIIndoorLoc,22,0.9500000000000004,0.9837983798379838,60.40302889842098
UJIIndoorLoc,33,0.5,0.46444644464446444,6.0521573292944675
UJIIndoorLoc,33,0.55,0.5265526552655265,6.838743576291756
UJIIndoorLoc,33,0.6000000000000001,0.5715571557155715,7.555999282481796
UJIIndoorLoc,33,0.6500000000000001,0.6282628262826283,8.643577473343612
UJIIndoorLoc,33,0.7000000000000002,0.693969396939694,9.999407676186118
UJIIndoorLoc,33,0.7500000000000002,0.7362736273627363,11.33082029542653
UJIIndoorLoc,33,0.8000000000000003,0.828082808280828,13.563820172788757
UJIIndoorLoc,33,0.8500000000000003,0.8775877587758776,16.018356514425736
UJIIndoorLoc,33,0.9000000000000004,0.9144914491449145,20.300044502126443
UJIIndoorLoc,33,0.9500000000000004,0.9558955895589559,28.151714435414505
UJIIndoorLoc,44,0.5,0.5094509450945095,6.337782835361067
UJIIndoorLoc,44,0.55,0.5796579657965797,7.184360328406742
UJIIndoorLoc,44,0.6000000000000001,0.6426642664266426,8.131508995493112
UJIIndoorLoc,44,0.6500000000000001,0.6921692169216922,9.231466015118047
UJIIndoorLoc,44,0.7000000000000002,0.7605760576057605,10.637826561488897
UJIIndoorLoc,44,0.7500000000000002,0.8226822682268227,12.668483244631854
UJIIndoorLoc,44,0.8000000000000003,0.8622862286228623,14.627844054282235
UJIIndoorLoc,44,0.8500000000000003,0.8883888388838884,16.85826028774296
UJIIndoorLoc,44,0.9000000000000004,0.9333933393339334,22.210039212265237
UJIIndoorLoc,44,0.9500000000000004,0.9738973897389739,37.638386333775166
UJIIndoorLoc,55,0.5,0.49324932493249324,5.890765394855447
UJIIndoorLoc,55,0.55,0.549054905490549,6.570151881692204
UJIIndoorLoc,55,0.6000000000000001,0.6048604860486049,7.318883615056247
UJIIndoorLoc,55,0.6500000000000001,0.6588658865886589,8.158275982483245
UJIIndoorLoc,55,0.7000000000000002,0.7272727272727273,9.175629959831506
UJIIndoorLoc,55,0.7500000000000002,0.7686768676867687,10.20837797218289
UJIIndoorLoc,55,0.8000000000000003,0.8334833483348335,11.910207018035173
UJIIndoorLoc,55,0.8500000000000003,0.8955895589558955,14.643429881586995
UJIIndoorLoc,55,0.9000000000000004,0.9387938793879388,18.577802417786508
UJIIndoorLoc,55,0.9500000000000004,0.9855985598559855,33.088438360893804
UJIIndoorLoc,66,0.5,0.45184518451845185,5.887920079852036
UJIIndoorLoc,66,0.55,0.5256525652565257,6.72254615209581
UJIIndoorLoc,66,0.6000000000000001,0.5679567956795679,7.453496054990421
UJIIndoorLoc,66,0.6500000000000001,0.6336633663366337,8.380251920288774
UJIIndoorLoc,66,0.7000000000000002,0.7011701170117012,9.458352092287464
UJIIndoorLoc,66,0.7500000000000002,0.7515751575157515,10.565091538835023
UJIIndoorLoc,66,0.8000000000000003,0.7929792979297929,12.187244622073761
UJIIndoorLoc,66,0.8500000000000003,0.8667866786678667,14.345119659950104
