dataset,dataset_key,seed,method,mean_m,median_m,rmse_m,p75_m,p90_m,p95_m,p99_m,cvar90_m,cvar95_m,max_m,mae_x_m,mae_y_m,within_1m,within_3m,within_5m,within_10m,floor_accuracy,building_accuracy
UJIIndoorLoc,uji,11,PCA-WKNN,9.620768488593482,6.226290263824744,17.510733020733202,11.259739182313016,19.415638509853,27.83512053660512,55.857028535215,38.14431316014135,53.591080922749725,225.8425067724568,6.4899239766864705,5.938490083117564,0.052205220522052204,0.24752475247524752,0.4239423942394239,0.693969396939694,,
UJIIndoorLoc,uji,11,ExtraTrees,10.843056711386218,7.819876850666457,15.106253760431352,13.850660895372831,22.803529086801227,29.974819366636694,51.59584724112854,34.83809303398413,43.599346053162854,109.0197827594512,7.625213972470564,6.2676074613215995,0.027002700270027002,0.1692169216921692,0.3132313231323132,0.6039603960396039,,
UJIIndoorLoc,uji,11,DNNBN-reimpl,10.322319984436035,7.479884624481201,14.827892303466797,12.466058731079102,19.807344436645508,27.272683143615723,61.70923919677797,34.08929443359375,45.63520050048828,105.15422058105469,7.176249980926514,5.8865885734558105,0.019801980198019802,0.1422142214221422,0.2988298829882988,0.6435643564356436,0.9045904590459046,0.9981998199819982
UJIIndoorLoc,uji,11,CNN-RSS-reimpl,23.162166595458984,15.335250854492188,32.88288116455078,28.603703498840332,52.753562927246094,71.59431076049805,112.42208633422857,79.48182678222656,97.7977066040039,186.21046447753906,16.684803009033203,13.0,0.004500450045004501,0.0351035103510351,0.09900990099009901,0.3051305130513051,0.8100810081008101,0.9828982898289829
UJIIndoorLoc,uji,11,AaT-base-reimpl,9.21155071258545,7.214625358581543,12.201760292053223,11.603536128997803,17.753631591796875,22.928714752197266,38.61059188842774,26.921926498413086,33.89719009399414,89.03948211669922,6.067509651184082,5.670567035675049,0.016201620162016202,0.1557155715571557,0.31503150315031503,0.675967596759676,0.90999099909991,0.9990999099909991
UJIIndoorLoc,uji,11,RC-Direct,8.931225776672363,7.243617534637451,11.5150785446167,11.604595184326172,16.788253784179688,21.210988998413086,35.270481491088894,24.709197998046875,30.583696365356445,77.6561279296875,5.430813312530518,6.046804904937744,0.019801980198019802,0.1413141314131413,0.30873087308730873,0.6741674167416741,0.9072907290729073,0.9990999099909991
UJIIndoorLoc,uji,11,RC-Loc,8.361501634749139,6.522805717056937,11.235342768696748,10.99053129150715,15.831565785472073,20.881255772404835,38.2532244275368,24.931182498316932,31.48250003957956,77.37464899361268,5.190331870818858,5.573349363070809,0.0333033303330333,0.19891989198919893,0.36813681368136814,0.7074707470747075,0.9072907290729073,0.9990999099909991
UJIIndoorLoc,uji,22,PCA-WKNN,9.261198729450015,5.80191569011487,16.546427044424053,11.076487661699495,18.7458267838832,25.80557545354679,49.98200957479097,35.720862395759944,49.82937292937587,200.96503836754604,6.048985887165527,5.898342923905858,0.048604860486048604,0.24842484248424843,0.43564356435643564,0.7074707470747075,,
UJIIndoorLoc,uji,22,ExtraTrees,10.567733001777547,7.818930002997608,14.490323676555594,13.661663205313081,22.340494979868044,28.589715796471747,49.696807319091235,33.06520076639024,40.9095777875534,94.2516874164377,7.2733472038968445,6.248756792262183,0.0288028802880288,0.162016201620162,0.3177317731773177,0.6174617461746175,,
UJIIndoorLoc,uji,22,DNNBN-reimpl,10.379462242126465,7.294861316680908,15.050406455993652,12.604511260986328,20.724061965942383,26.480103492736816,64.7722465515145,34.40848159790039,45.72432327270508,103.3934097290039,7.075166702270508,6.238073825836182,0.013501350135013501,0.11431143114311432,0.3015301530153015,0.6570657065706571,0.918991899189919,0.9981998199819982
