dataset,seed,method,scenario,p90_m,mean_m
UTSIndoorLoc,55,RC-NoCorruption,top20_outage,29.291666341743223,13.100394396201182
UTSIndoorLoc,55,RC-NoCorruption,top20_outage_plus_bias4db,29.52249771624641,13.13459809935446
UTSIndoorLoc,55,RC-NoMask,clean,12.498463528970632,6.94657535972794
UTSIndoorLoc,55,RC-NoMask,device_offset_-6db,12.326758619352056,6.929638245823718
UTSIndoorLoc,55,RC-NoMask,persistent_bias_8db,11.643961922878466,6.831480748512906
UTSIndoorLoc,55,RC-NoMask,top20_outage,23.155213779276227,11.003651736336366
UTSIndoorLoc,55,RC-NoMask,top20_outage_plus_bias4db,21.81949009324391,10.92869924705336
UTSIndoorLoc,55,RC-NoReconstruction,clean,12.214870788036633,7.0974714090711375
UTSIndoorLoc,55,RC-NoReconstruction,device_offset_-6db,12.504389796232507,6.942161498870483
UTSIndoorLoc,55,RC-NoReconstruction,persistent_bias_8db,11.767669415981777,7.164462004895054
UTSIndoorLoc,55,RC-NoReconstruction,top20_outage,19.77547231448853,10.025165459145384
UTSIndoorLoc,55,RC-NoReconstruction,top20_outage_plus_bias4db,19.84960327271857,9.959090827278148
UJIIndoorLoc,11,RC-Loc,clean,15.831565785472073,8.361501634749139
UJIIndoorLoc,22,RC-Loc,clean,16.589343952526082,8.203123814761014
UJIIndoorLoc,33,RC-Loc,clean,15.972108063484814,8.219085366542366
UJIIndoorLoc,44,RC-Loc,clean,15.43306820688406,7.78724497640263
UJIIndoorLoc,55,RC-Loc,clean,16.970200051979795,8.21090638519448
UTSIndoorLoc,11,RC-Loc,clean,12.390777539605835,7.092149861756727
UTSIndoorLoc,22,RC-Loc,clean,11.722743654007491,6.873742033834531
UTSIndoorLoc,33,RC-Loc,clean,11.34882350714538,6.852364517752427
UTSIndoorLoc,44,RC-Loc,clean,11.774627820915772,6.758469646915311
UTSIndoorLoc,55,RC-Loc,clean,12.369251982444087,7.1935715677894
