dataset,seed,method,scenario,p90_m,mean_m
UJIIndoorLoc,33,RC-NoCoarseHeads,device_offset_-6db,16.53445520121487,8.632696925340973
UJIIndoorLoc,33,RC-NoCoarseHeads,persistent_bias_8db,16.408331795655066,8.233217086037877
UJIIndoorLoc,33,RC-NoCoarseHeads,top20_outage,72.20775558602669,27.898990498414392
UJIIndoorLoc,33,RC-NoCoarseHeads,top20_outage_plus_bias4db,73.81006346848048,27.985408936153632
UJIIndoorLoc,33,RC-NoConsistency,clean,15.977593410088692,8.226605011335442
UJIIndoorLoc,33,RC-NoConsistency,device_offset_-6db,15.971342749688398,8.610338501868505
UJIIndoorLoc,33,RC-NoConsistency,persistent_bias_8db,16.272911089377725,8.545641908222422
UJIIndoorLoc,33,RC-NoConsistency,top20_outage,71.58330003613113,26.28597998553761
UJIIndoorLoc,33,RC-NoConsistency,top20_outage_plus_bias4db,72.59742805046011,26.43448800484205
UJIIndoorLoc,33,RC-NoCorruption,clean,17.590764314526893,8.896308383605142
UJIIndoorLoc,33,RC-NoCorruption,device_offset_-6db,19.002823219794365,9.569072836711136
UJIIndoorLoc,33,RC-NoCorruption,persistent_bias_8db,17.916944781255733,9.175638278436711
UJIIndoorLoc,33,RC-NoCorruption,top20_outage,143.69589199366456,56.205075655129846
UJIIndoorLoc,33,RC-NoCorruption,top20_outage_plus_bias4db,142.9295628030207,54.67554065487033
UJIIndoorLoc,33,RC-NoMask,clean,16.052528112256027,8.352443320872444
UJIIndoorLoc,33,RC-NoMask,device_offset_-6db,15.784335477935992,8.589230576561464
UJIIndoorLoc,33,RC-NoMask,persistent_bias_8db,15.827532177336618,8.518068378041729
UJIIndoorLoc,33,RC-NoMask,top20_outage,99.79487262241612,31.766221130588203
UJIIndoorLoc,33,RC-NoMask,top20_outage_plus_bias4db,100.5407809882577,31.870913955097546
UJIIndoorLoc,33,RC-NoReconstruction,clean,15.879777354690264,8.089882642373823
UJIIndoorLoc,33,RC-NoReconstruction,device_offset_-6db,16.277505582912752,8.324142444151217
UJIIndoorLoc,33,RC-NoReconstruction,persistent_bias_8db,16.470273173648692,8.413632149670871
UJIIndoorLoc,33,RC-NoReconstruction,top20_outage,90.99185051949384,30.68369828001149
UJIIndoorLoc,33,RC-NoReconstruction,top20_outage_plus_bias4db,96.1108829973493,31.22927792164252
UJIIndoorLoc,44,RC-NoAugCoord,clean,15.58388019129465,8.112201082343807
