dataset,seed,retain_fraction,p90_m
UJIIndoorLoc,11,0.1,10.889219617978288
UJIIndoorLoc,11,0.2,10.718460334742174
UJIIndoorLoc,11,0.30000000000000004,10.798798199644812
UJIIndoorLoc,11,0.4,11.343846901037072
UJIIndoorLoc,11,0.5,11.905439546151356
UJIIndoorLoc,11,0.6,12.531710415065325
UJIIndoorLoc,11,0.7000000000000001,12.908584280322922
UJIIndoorLoc,11,0.8,13.513102388145873
UJIIndoorLoc,11,0.9,14.53380307137097
UJIIndoorLoc,11,1.0,15.831565785472073
UJIIndoorLoc,22,0.1,9.35699827449238
UJIIndoorLoc,22,0.2,10.104854906185038
UJIIndoorLoc,22,0.30000000000000004,10.185647123187676
UJIIndoorLoc,22,0.4,10.495201697627287
UJIIndoorLoc,22,0.5,10.983962215865104
UJIIndoorLoc,22,0.6,11.994213801861699
UJIIndoorLoc,22,0.7000000000000001,14.341877164357596
UJIIndoorLoc,22,0.8,14.921160189614785
UJIIndoorLoc,22,0.9,15.730949652625121
UJIIndoorLoc,22,1.0,16.589343952526082
UJIIndoorLoc,33,0.1,9.319346853851913
UJIIndoorLoc,33,0.2,10.879102353160414
UJIIndoorLoc,33,0.30000000000000004,10.750972641024724
UJIIndoorLoc,33,0.4,11.51049025618861
UJIIndoorLoc,33,0.5,12.515392464138287
UJIIndoorLoc,33,0.6,12.988099076924389
UJIIndoorLoc,33,0.7000000000000001,13.239021918758182
UJIIndoorLoc,33,0.8,13.83554398891009
UJIIndoorLoc,33,0.9,14.97400279660394
UJIIndoorLoc,33,1.0,15.972108063484814
UJIIndoorLoc,44,0.1,8.972040161959814
UJIIndoorLoc,44,0.2,9.676757784215186
UJIIndoorLoc,44,0.30000000000000004,9.803252796605888
UJIIndoorLoc,44,0.4,9.803048614808068
UJIIndoorLoc,44,0.5,11.387300412361654
UJIIndoorLoc,44,0.6,11.916758504831535
UJIIndoorLoc,44,0.7000000000000001,12.225227119711485
UJIIndoorLoc,44,0.8,12.787325550732268
UJIIndoorLoc,44,0.9,14.167773223618788
UJIIndoorLoc,44,1.0,15.43306820688406
