dataset,seed,method,execution,batch_size,warmup_repeats,timed_repeats,latency_median_ms_per_sample,latency_p05_ms_per_sample,latency_p95_ms_per_sample,throughput_samples_per_s,parameters,serialized_model_bytes,peak_gpu_memory_bytes,boundary
UJIIndoorLoc,33,CNN-RSS-reimpl,cuda,32,30,150,0.09694375,0.0773671875,0.15878953124999998,10315.260137966605,285962,1157282,27373568,in-memory normalized RSS to final coordinate; exact retrieval included for RC-Loc
UJIIndoorLoc,33,CNN-RSS-reimpl,cuda,256,30,80,0.02607265625,0.01654013671875,0.03004453125,38354.35831360681,285962,1157282,139152384,in-memory normalized RSS to final coordinate; exact retrieval included for RC-Loc
UJIIndoorLoc,33,AaT-base-reimpl,cuda,1,30,300,7.674300000000001,5.60465,10.69039,130.30504410825742,4889354,19575842,49020928,in-memory normalized RSS to final coordinate; exact retrieval included for RC-Loc
UJIIndoorLoc,33,AaT-base-reimpl,cuda,32,30,150,0.291728125,0.2131478125,0.4039249999999999,3427.849131790087,4889354,19575842,60352512,in-memory normalized RSS to final coordinate; exact retrieval included for RC-Loc
UJIIndoorLoc,33,AaT-base-reimpl,cuda,256,30,80,0.047476171875,0.039453984375,0.05813556640625,21063.197821275477,4889354,19575842,134284288,in-memory normalized RSS to final coordinate; exact retrieval included for RC-Loc
UJIIndoorLoc,33,RC-Direct,cuda,1,30,300,15.7664,9.2644,34.392115000000004,63.426019890399836,2972146,11906850,35596288,in-memory normalized RSS to final coordinate; exact retrieval included for RC-Loc
UJIIndoorLoc,33,RC-Direct,cuda,32,30,150,0.3512109375,0.258900625,0.45211874999999996,2847.2917361806253,2972146,11906850,36105216,in-memory normalized RSS to final coordinate; exact retrieval included for RC-Loc
UJIIndoorLoc,33,RC-Direct,cuda,256,30,80,0.0492943359375,0.0335280078125,0.060895703125,20286.306346998852,2972146,11906850,39789568,in-memory normalized RSS to final coordinate; exact retrieval included for RC-Loc
UJIIndoorLoc,33,RC-Loc,cuda,1,30,300,129.61575,104.329915,205.172755,7.715111782325836,2972146,11906850,33368064,in-memory normalized RSS to final coordinate; exact retrieval included for RC-Loc
UJIIndoorLoc,33,RC-Loc,cuda,32,30,150,3.4959984375,3.0850575,3.8090668749999996,286.0413177744734,2972146,11906850,33876992,in-memory normalized RSS to final coordinate; exact retrieval included for RC-Loc
UJIIndoorLoc,33,RC-Loc,cuda,256,30,80,0.5814949218750001,0.52901064453125,0.982214140625,1719.7054735672534,2972146,11906850,37561344,in-memory normalized RSS to final coordinate; exact retrieval included for RC-Loc
UTSIndoorLoc,33,PCA-WKNN,cpu,1,30,300,107.59434999999999,81.83569000000001,136.34486500000003,9.294168327611999,0,6052899,0,in-memory normalized RSS to final coordinate; exact retrieval included for RC-Loc
UTSIndoorLoc,33,PCA-WKNN,cpu,32,30,150,1.6638484375,1.4308940625,2.1449329687499996,601.0162809675986,0,6052899,0,in-memory normalized RSS to final coordinate; exact retrieval included for RC-Loc
UTSIndoorLoc,33,PCA-WKNN,cpu,256,30,80,0.4532638671875,0.41176789062499997,0.51147345703125,2206.2204212415936,0,6052899,0,in-memory normalized RSS to final coordinate; exact retrieval included for RC-Loc
UTSIndoorLoc,33,ExtraTrees,cpu,1,30,300,437.02185,269.011215,1263.0715500000001,2.288215108695366,0,134177827,0,in-memory normalized RSS to final coordinate; exact retrieval included for RC-Loc
UTSIndoorLoc,33,ExtraTrees,cpu,32,30,150,12.843128125,9.7020190625,30.44311546874999,77.86265077068208,0,134177827,0,in-memory normalized RSS to final coordinate; exact retrieval included for RC-Loc
UTSIndoorLoc,33,ExtraTrees,cpu,256,30,80,2.40634375,1.90816359375,5.7876840625,415.5682246146254,0,134177827,0,in-memory normalized RSS to final coordinate; exact retrieval included for RC-Loc
UTSIndoorLoc,33,DNNBN-reimpl,cpu,1,30,300,20.192500000000003,18.113835,22.884165,49.52333787297263,860563,3466466,0,in-memory normalized RSS to final coordinate; exact retrieval included for RC-Loc
UTSIndoorLoc,33,DNNBN-reimpl,cpu,32,30,150,0.839984375,0.7355125,1.0159059375,1190.4983351624844,860563,3466466,0,in-memory normalized RSS to final coordinate; exact retrieval included for RC-Loc
UTSIndoorLoc,33,DNNBN-reimpl,cpu,256,30,80,0.09128242187499999,0.07703111328125001,0.10757574218749999,10955.011703889459,860563,3466466,0,in-memory normalized RSS to final coordinate; exact retrieval included for RC-Loc
UTSIndoorLoc,33,CNN-RSS-reimpl,cpu,1,30,300,17.7369,15.174675,21.273455,56.37963792996522,287699,1164258,0,in-memory normalized RSS to final coordinate; exact retrieval included for RC-Loc
UTSIndoorLoc,33,CNN-RSS-reimpl,cpu,32,30,150,1.12651875,0.985951875,1.2661590624999999,887.6905067048374,287699,1164258,0,in-memory normalized RSS to final coordinate; exact retrieval included for RC-Loc
UTSIndoorLoc,33,CNN-RSS-reimpl,cpu,256,30,80,0.543695703125,0.4668370703125,0.61668677734375,1839.2641219202203,287699,1164258,0,in-memory normalized RSS to final coordinate; exact retrieval included for RC-Loc
UTSIndoorLoc,33,AaT-base-reimpl,cpu,1,30,300,18.033099999999997,15.294970000000001,21.63186,55.4535825787025,5455763,21841506,0,in-memory normalized RSS to final coordinate; exact retrieval included for RC-Loc
UTSIndoorLoc,33,AaT-base-reimpl,cpu,32,30,150,1.2624921875,1.09538671875,1.6080249999999998,792.0841094313703,5455763,21841506,0,in-memory normalized RSS to final coordinate; exact retrieval included for RC-Loc
UTSIndoorLoc,33,AaT-base-reimpl,cpu,256,30,80,0.6601123046874999,0.577753984375,0.74909921875,1514.8937429266743,5455763,21841506,0,in-memory normalized RSS to final coordinate; exact retrieval included for RC-Loc
UTSIndoorLoc,33,RC-Direct,cpu,1,30,300,8.864049999999999,6.560015,11.73892,112.81524810893441,3034912,12157922,0,in-memory normalized RSS to final coordinate; exact retrieval included for RC-Loc
UTSIndoorLoc,33,RC-Direct,cpu,32,30,150,0.363825,0.28987484375,0.4528421875,2748.5741771456055,3034912,12157922,0,in-memory normalized RSS to final coordinate; exact retrieval included for RC-Loc
UTSIndoorLoc,33,RC-Direct,cpu,256,30,80,0.1058634765625,0.0842612890625,0.15712619140624998,9446.1284710371,3034912,12157922,0,in-memory normalized RSS to final coordinate; exact retrieval included for RC-Loc
UTSIndoorLoc,33,RC-Loc,cpu,1,30,300,73.3931,64.624065,81.22778000000001,13.625259050237691,3034912,12157922,0,in-memory normalized RSS to final coordinate; exact retrieval included for RC-Loc
UTSIndoorLoc,33,RC-Loc,cpu,32,30,150,3.8062859375,2.8901693749999997,4.229438125,262.7232994105556,3034912,12157922,0,in-memory normalized RSS to final coordinate; exact retrieval included for RC-Loc
UTSIndoorLoc,33,RC-Loc,cpu,256,30,80,0.75285703125,0.6560269531249999,0.81697388671875,1328.2734416913902,3034912,12157922,0,in-memory normalized RSS to final coordinate; exact retrieval included for RC-Loc
UTSIndoorLoc,33,DNNBN-reimpl,cuda,1,30,300,5.6819,3.67109,8.56399,175.99746563649484,860563,3466466,17249280,in-memory normalized RSS to final coordinate; exact retrieval included for RC-Loc
UTSIndoorLoc,33,DNNBN-reimpl,cuda,32,30,150,0.178659375,0.11866796875,0.26417734374999996,5597.243357646359,860563,3466466,17465344,in-memory normalized RSS to final coordinate; exact retrieval included for RC-Loc
UTSIndoorLoc,33,DNNBN-reimpl,cuda,256,30,80,0.02540625,0.0170437890625,0.035575371093749995,39360.39360393604,860563,3466466,19024896,in-memory normalized RSS to final coordinate; exact retrieval included for RC-Loc
UTSIndoorLoc,33,CNN-RSS-reimpl,cuda,1,30,300,8.4451,6.133825,12.028310000000003,118.41186013191081,287699,1164258,11894272,in-memory normalized RSS to final coordinate; exact retrieval included for RC-Loc
UTSIndoorLoc,33,CNN-RSS-reimpl,cuda,32,30,150,0.523625,0.3695525,0.6525765624999998,1909.7636667462402,287699,1164258,28989440,in-memory normalized RSS to final coordinate; exact retrieval included for RC-Loc
UTSIndoorLoc,33,CNN-RSS-reimpl,cuda,256,30,80,0.0752931640625,0.063052734375,0.08979683593749999,13281.418206437856,287699,1164258,157783040,in-memory normalized RSS to final coordinate; exact retrieval included for RC-Loc
UTSIndoorLoc,33,AaT-base-reimpl,cuda,1,30,300,27.0245,18.93563,33.168780000000005,37.0034598234935,5455763,21841506,53552128,in-memory normalized RSS to final coordinate; exact retrieval included for RC-Loc
UTSIndoorLoc,33,AaT-base-reimpl,cuda,32,30,150,1.022021875,0.7327434375,1.5339278124999995,978.4526383058092,5455763,21841506,64761856,in-memory normalized RSS to final coordinate; exact retrieval included for RC-Loc
UTSIndoorLoc,33,AaT-base-reimpl,cuda,256,30,80,0.1520375,0.11439060546875,0.20566048828125,6577.32467318918,5455763,21841506,138886144,in-memory normalized RSS to final coordinate; exact retrieval included for RC-Loc
UTSIndoorLoc,33,RC-Direct,cuda,1,30,300,38.41905,24.198420000000002,54.107195,26.02875396450459,3034912,12157922,36195328,in-memory normalized RSS to final coordinate; exact retrieval included for RC-Loc
UTSIndoorLoc,33,RC-Direct,cuda,32,30,150,1.2410453125,0.83845109375,1.817846562499998,805.7723516843789,3034912,12157922,36722688,in-memory normalized RSS to final coordinate; exact retrieval included for RC-Loc
UTSIndoorLoc,33,RC-Direct,cuda,256,30,80,0.156997265625,0.11944884765625001,0.2075221484375,6369.537686016626,3034912,12157922,40529920,in-memory normalized RSS to final coordinate; exact retrieval included for RC-Loc
UTSIndoorLoc,33,RC-Loc,cuda,1,30,300,234.1503,214.777005,260.7221,4.2707611307779665,3034912,12157922,34704384,in-memory normalized RSS to final coordinate; exact retrieval included for RC-Loc
UTSIndoorLoc,33,RC-Loc,cuda,32,30,150,7.6558109375,6.9390096875000005,8.887383124999998,130.61973553993607,3034912,12157922,35231744,in-memory normalized RSS to final coordinate; exact retrieval included for RC-Loc
UTSIndoorLoc,33,RC-Loc,cuda,256,30,80,0.6479865234375,0.4077110546875,1.03207712890625,1543.241971600128,3034912,12157922,39038976,in-memory normalized RSS to final coordinate; exact retrieval included for RC-Loc
