dataset,scenario,method,n_seeds,mean_error_mean_m,mean_error_std_m,p90_mean_m,p90_std_m,p95_mean_m,p95_std_m
UJIIndoorLoc,device_offset=+6dB,AaT-base-reimpl,5,9.006017112731934,0.19048045402868985,17.52559471130371,0.49341064867524803,23.121512985229494,0.40990086554395483
UJIIndoorLoc,device_offset=+6dB,PCA-WKNN,5,8.638269304835534,0.08232823015999101,17.796609113164266,0.41108301235035594,24.349939604457457,0.9122316084977263
UJIIndoorLoc,device_offset=+6dB,RC-Direct,5,8.757508277893066,0.2939436592941291,17.312996292114256,0.5052042420854268,21.959884643554688,0.8269108524148686
UJIIndoorLoc,device_offset=+6dB,RC-Loc,5,8.336583537636413,0.2330365373182959,16.756083031672507,0.46422498094127146,21.3436907555299,0.9288291764807709
UJIIndoorLoc,device_offset=-6dB,AaT-base-reimpl,5,9.52949161529541,0.18531282409006397,17.928909301757812,0.46936887477491956,23.165317153930665,0.5295812473154872
UJIIndoorLoc,device_offset=-6dB,PCA-WKNN,5,12.184537408922917,0.3685716348546249,21.511658464862634,0.689160883584212,34.91140044795913,2.9166757185846364
UJIIndoorLoc,device_offset=-6dB,RC-Direct,5,8.682820320129395,0.2509005446968046,16.503073692321777,0.48232960740911074,21.145126724243163,0.7456240229829966
UJIIndoorLoc,device_offset=-6dB,RC-Loc,5,8.521975426434098,0.42386165146728066,16.766787139110882,0.9619509387363276,21.657251326839205,1.2241571346500837
UJIIndoorLoc,persistent_ap_bias_sd=4dB,AaT-base-reimpl,5,9.065622329711914,0.19201343019170627,17.645779418945313,0.6603652456986159,23.441551971435548,1.027429640617307
UJIIndoorLoc,persistent_ap_bias_sd=4dB,PCA-WKNN,5,9.652836233882804,0.3898423652612517,19.12925004048533,0.5868870962008685,26.24736291669374,0.6894860285101485
UJIIndoorLoc,persistent_ap_bias_sd=4dB,RC-Direct,5,8.613154411315918,0.2949753569159195,16.8474422454834,0.6109303775763778,21.53160152435303,0.7961887842633323
UJIIndoorLoc,persistent_ap_bias_sd=4dB,RC-Loc,5,8.275161816074368,0.2785189826232908,16.4981302860171,0.655112137652329,21.292249210753095,0.947402372910063
UJIIndoorLoc,persistent_ap_bias_sd=8dB,AaT-base-reimpl,5,9.469554328918457,0.25451638371564894,18.468798828125,0.6061058703831163,23.64828567504883,0.8636803485513537
UJIIndoorLoc,persistent_ap_bias_sd=8dB,PCA-WKNN,5,9.77549472684418,0.40993315195197566,19.418944181098432,0.3487100130078087,26.66593858065279,0.48302083914904603
UJIIndoorLoc,persistent_ap_bias_sd=8dB,RC-Direct,5,8.96833782196045,0.27823581991666585,17.7012508392334,0.9900259021262711,22.341021728515624,1.2559503363647722
UJIIndoorLoc,persistent_ap_bias_sd=8dB,RC-Loc,5,8.618272262213704,0.24887708554382845,17.18186041441866,0.9114577584502043,22.33321547156715,0.9116311740398795
UJIIndoorLoc,top_ap_outage=0.10,AaT-base-reimpl,5,19.225070571899415,3.6047631890986382,46.15671234130859,10.614142378264518,92.84084510803223,35.728009910798434
UJIIndoorLoc,top_ap_outage=0.10,PCA-WKNN,5,28.71799729170548,3.0918263250434825,110.0379418033024,16.025855007085944,144.84865075155477,15.151814543940434
