dataset,n_seeds,coverage_mean,coverage_std,coverage_min,coverage_max,radius_median_mean_m,radius_median_std_m,p90_mean_m,p90_std_m
Tampere,10,0.8264765784114052,0.09728139774783016,0.6364562118126272,0.95010183299389,13.112487618947359,2.7593142616138246,13.469917917061617,0.6624491541507668
UJI-Library-25M,10,0.9513807692307692,0.02311937694348512,0.9162564102564102,0.9856923076923076,10.01518939594406,5.427732282230146,5.42905344792154,0.5721958855677026
UJIIndoorLoc,10,0.9245724572457246,0.01851357737126708,0.8892889288928892,0.9522952295229524,24.402127296593914,13.144589956667401,16.634188938572024,0.5974130588038273
UTSIndoorLoc,10,0.9139175257731958,0.05209048468280852,0.8092783505154639,0.9845360824742267,18.77762976621513,6.1742726328078055,12.643477608661797,0.5138442820975274
