dataset,baseline,metric,n_pairs,baseline_mean,rc_mean,improvement_m,relative_improvement_percent,wins,ties,bootstrap_ci_low_m,bootstrap_ci_high_m,exact_two_sided_p
UJIIndoorLoc,PCA-WKNN,mean_m,5,9.507343273796183,8.156372435529926,1.3509708382662569,14.209761858391682,5,0,1.1828834257936296,1.5397947849428206,0.0625
UJIIndoorLoc,PCA-WKNN,median_m,5,5.936711939168653,6.231718066401585,-0.29500612723293307,-4.969183788193777,0,0,-0.38101663570657,-0.21272248430369398,0.0625
UJIIndoorLoc,PCA-WKNN,p90_m,5,18.83020913213507,16.159257212069367,2.670951920065706,14.184398597610578,5,0,1.8818033131170924,3.3887754241203383,0.0625
UJIIndoorLoc,PCA-WKNN,p95_m,5,26.35294275153364,21.153611062764167,5.199331688769477,19.729605675506185,5,0,4.19435481664825,6.128065520732668,0.0625
UJIIndoorLoc,AaT-base-reimpl,mean_m,5,8.974838638305664,8.156372435529926,0.8184662027757386,9.119564548853601,5,0,0.7317951491851786,0.9042524917454484,0.0625
UJIIndoorLoc,AaT-base-reimpl,median_m,5,7.025261497497558,6.231718066401585,0.7935434310959737,11.295571437143497,5,0,0.732278476124004,0.8632773887501306,0.0625
UJIIndoorLoc,AaT-base-reimpl,p90_m,5,17.203614807128908,16.159257212069367,1.0443575950595414,6.070570672314611,5,0,0.5247688268825221,1.6226866478601185,0.0625
UJIIndoorLoc,AaT-base-reimpl,p95_m,5,22.816735458374023,21.153611062764167,1.6631243956098594,7.289054994935624,5,0,0.7925615577872946,2.369820781432884,0.0625
UTSIndoorLoc,PCA-WKNN,mean_m,5,8.411249153767569,6.954059525609679,1.4571896281578902,17.324295137603734,5,0,1.1432058842569242,1.8310210321765787,0.0625
UTSIndoorLoc,PCA-WKNN,median_m,5,7.443782631511638,5.959261151162236,1.4845214803494027,19.943106265153464,5,0,1.3506006693386787,1.71902403850437,0.0625
UTSIndoorLoc,PCA-WKNN,p90_m,5,14.863926907294367,11.921244900823712,2.9426820064706556,19.797473607237364,5,0,2.308596036923529,3.711968163941871,0.0625
UTSIndoorLoc,PCA-WKNN,p95_m,5,17.960911885588693,15.211895843661514,2.7490160419271805,15.305548289744184,5,0,1.8002788550376665,3.697753228816695,0.0625
UTSIndoorLoc,AaT-base-reimpl,mean_m,5,7.461468982696533,6.954059525609679,0.5074094570868539,6.800396252581875,5,0,0.33983353402890926,0.6262682198796155,0.0625
UTSIndoorLoc,AaT-base-reimpl,median_m,5,6.4630560874938965,5.959261151162236,0.5037949363316608,7.794995579668743,5,0,0.2906753533286516,0.7133895431807501,0.0625
UTSIndoorLoc,AaT-base-reimpl,p90_m,5,12.915676765441896,11.921244900823712,0.9944318646181838,7.69941740318987,4,0,0.3082520155561571,1.6523879482640396,0.125
UTSIndoorLoc,AaT-base-reimpl,p95_m,5,16.676716995239254,15.211895843661514,1.4648211515777376,8.783630207287825,5,0,0.8431202445293028,2.428426993771157,0.0625
Tampere,PCA-WKNN,mean_m,5,6.833857910704931,7.061923154127692,-0.22806524342276102,-3.337283952970504,1,0,-0.30930367601145664,-0.09288841872484799,0.125
Tampere,PCA-WKNN,median_m,5,6.119798670916641,6.465845511116433,-0.34604684019979254,-5.654546151073964,0,0,-0.5473306327748526,-0.14476304762473244,0.0625
Tampere,PCA-WKNN,p90_m,5,12.81243205898746,12.881432260285038,-0.06900020129757714,-0.5385410121974148,3,0,-0.5760000349817108,0.3688112449274133,0.8125
Tampere,PCA-WKNN,p95_m,5,14.719234643522896,14.554559528663123,0.16467511485977263,1.1187749828571205,4,0,-0.3280535577461805,0.6470068602740447,0.5625
Tampere,AaT-base-reimpl,mean_m,5,9.319709014892577,7.061923154127692,2.2577858607648857,24.225926551537402,5,0,1.7371492218804252,2.811068795609978,0.0625
Tampere,AaT-base-reimpl,median_m,5,8.694866180419922,6.465845511116433,2.229020669303488,25.636054920811176,5,0,1.6999708308555852,2.7580705077513903,0.0625
Tampere,AaT-base-reimpl,p90_m,5,16.38982301712036,12.881432260285038,3.5083907568353228,21.40590995504072,5,0,2.635311444446933,4.667603900082807,0.0625
Tampere,AaT-base-reimpl,p95_m,5,18.86475206375121,14.554559528663123,4.3101925350880865,22.847862089691386,5,0,2.9077567429759013,5.94936690019071,0.0625
UJI-Library-25M,PCA-WKNN,mean_m,5,3.0000595262424046,2.707845373918198,0.2922141523242061,9.740278476747639,5,0,0.20722698896621852,0.3870693239754218,0.0625
UJI-Library-25M,PCA-WKNN,median_m,5,2.7600509864814513,2.3415886780342183,0.41846230844723326,15.161397760289,5,0,0.3199814614314767,0.5169431554629897,0.0625
UJI-Library-25M,PCA-WKNN,p90_m,5,5.343677411136741,5.122170798261008,0.22150661287573303,4.145209297516572,4,0,0.03859864123692987,0.431787773073404,0.125
UJI-Library-25M,PCA-WKNN,p95_m,5,6.191324198093497,6.170121651842204,0.021202546251292632,0.34245575862141997,1,0,-0.1660339423090907,0.3386706537277668,1.0
UJI-Library-25M,AaT-base-reimpl,mean_m,5,3.3162820816040037,2.707845373918198,0.6084367076858057,18.346952783688412,5,0,0.521910889735817,0.676814642775558,0.0625
UJI-Library-25M,AaT-base-reimpl,median_m,5,3.0312642097473144,2.3415886780342183,0.6896755317130963,22.75207583342224,5,0,0.587455670274467,0.7632258234526488,0.0625
UJI-Library-25M,AaT-base-reimpl,p90_m,5,6.071561098098756,5.122170798261008,0.9493902998377468,15.636675387076943,5,0,0.7703418545292001,1.0793878144219573,0.0625
UJI-Library-25M,AaT-base-reimpl,p95_m,5,7.211073727607729,6.170121651842204,1.0409520757655235,14.435465716849064,5,0,0.8082754438447972,1.2736287076862498,0.0625
