dataset,seed,method,scenario,n,mean_m,median_m,rmse_m,p75_m,p90_m,p95_m,within_3m,floor_accuracy,floor_unknown_fraction,building_accuracy,building_unknown_fraction,train_seconds,latency_ms_per_sample,best_epoch
UJIIndoorLoc,11,RC-Loc,clean,1111.0,8.361501634749139,6.522805717056937,11.235342768696748,10.99053129150715,15.831565785472073,20.881255772404835,0.19891989198919893,0.9072907290729073,0.0,0.9990999099909991,0.0,116.21674600010738,0.08825490542064637,80
UJIIndoorLoc,11,RC-Direct,clean,1111.0,8.931225776672363,7.243617534637451,11.5150785446167,11.604595184326172,16.788253784179688,21.210988998413086,0.1413141314131413,0.9072907290729073,0.0,0.9990999099909991,0.0,116.21674600010738,0.08825490542064637,80
UJIIndoorLoc,11,RC-Loc,"drop=0.2,noise=0",1111.0,9.764141940669777,7.496369370867589,13.516293371025583,12.612371872601962,18.629976465412046,25.40398466400037,0.1629162916291629,,,,,116.21674600010738,0.08825490542064637,80
UJIIndoorLoc,11,RC-Loc,"drop=0.4,noise=0",1111.0,12.251219688787202,8.891505031910116,17.919915861718593,15.30531648373738,24.957762328500888,33.440330568281,0.11701170117011701,,,,,116.21674600010738,0.08825490542064637,80
UJIIndoorLoc,11,RC-Loc,"drop=0.6,noise=0",1111.0,18.58285585190934,12.041764966511849,29.673150042880433,21.638758095942094,37.88215985309271,56.94454416315581,0.0747074707470747,,,,,116.21674600010738,0.08825490542064637,80
UJIIndoorLoc,11,RC-Loc,"drop=0.2,noise=2",1111.0,9.833575188683174,7.542439231016874,13.546801701667944,12.727643771887934,18.690728816795993,26.057661150708824,0.1548154815481548,,,,,116.21674600010738,0.08825490542064637,80
UJIIndoorLoc,11,RC-Loc,"drop=0.2,noise=4",1111.0,9.924614623567,7.640432699233812,13.59000918810534,12.845843689180136,18.829829714479473,26.231539151696257,0.15841584158415842,,,,,116.21674600010738,0.08825490542064637,80
UJIIndoorLoc,11,RC-Loc,"drop=0.2,noise=6",1111.0,10.055893470609714,7.844647671295666,13.681800565466638,13.090706048668073,19.24774459341384,26.901787283134038,0.1557155715571557,,,,,116.21674600010738,0.08825490542064637,80
UJIIndoorLoc,22,RC-Loc,clean,1111.0,8.203123814761014,6.260303093426752,11.098572129203903,10.39295951661719,16.589343952526082,22.074561862820538,0.20882088208820881,0.9153915391539154,0.0,0.9990999099909991,0.0,251.17494689999148,0.11779513951092556,177
UJIIndoorLoc,22,RC-Direct,clean,1111.0,8.468019485473633,6.54831075668335,11.304533004760742,10.718486785888672,16.741134643554688,22.228184700012207,0.18361836183618363,0.9153915391539154,0.0,0.9990999099909991,0.0,251.17494689999148,0.11779513951092556,177
UJIIndoorLoc,22,RC-Loc,"drop=0.2,noise=0",1111.0,9.28761912689344,7.056085982329716,12.670564021451966,11.926991357511998,18.510249725480733,23.915646937979886,0.1773177317731773,,,,,251.17494689999148,0.11779513951092556,177
UJIIndoorLoc,22,RC-Loc,"drop=0.4,noise=0",1111.0,11.441297638535596,8.148235013335793,16.75655176353828,14.364136435748838,22.90116574535255,29.250160832752023,0.11431143114311432,,,,,251.17494689999148,0.11779513951092556,177
UJIIndoorLoc,22,RC-Loc,"drop=0.6,noise=0",1111.0,16.033319403263434,10.72012628016527,25.997489310156983,18.855959342167196,32.954564344825236,43.581101723421014,0.09360936093609361,,,,,251.17494689999148,0.11779513951092556,177
UJIIndoorLoc,22,RC-Loc,"drop=0.2,noise=2",1111.0,9.306947364688524,7.0587926579404225,12.603700889128927,11.914368527319002,18.741428119752094,24.13247873557463,0.16831683168316833,,,,,251.17494689999148,0.11779513951092556,177
UJIIndoorLoc,22,RC-Loc,"drop=0.2,noise=4",1111.0,9.408995517572233,7.240466896082392,12.655420377596565,12.016657104467892,18.813269539235343,24.292946806664812,0.16561656165616562,,,,,251.17494689999148,0.11779513951092556,177
UJIIndoorLoc,22,RC-Loc,"drop=0.2,noise=6",1111.0,9.593383266632443,7.466314855633607,12.804331110893925,12.129968209608679,19.222146238132133,24.92248958671067,0.16111611161116113,,,,,251.17494689999148,0.11779513951092556,177
